Sample,Trial,Elapsed,Data
55,0,0.5704243183135986,-0.0047
56,0,0.5809779167175293,-0.0097
57,0,0.5915346145629883,-0.0097
58,0,0.6017017364501953,-0.0036
59,0,0.6117961406707764,0.0015
60,0,0.622037410736084,-0.0086
61,0,0.6325809955596924,-0.0009
62,0,0.643169641494751,0.0018
63,0,0.6532852649688721,-0.0052
64,0,0.6638457775115967,-0.0079
65,0,0.6740398406982422,-0.0079
66,0,0.6842961311340332,0.003
67,0,0.6944036483764648,0.0018
68,0,0.7045528888702393,-0.0027
69,0,0.715104341506958,-0.0044
70,0,0.7253861427307129,0.0026
71,0,0.7358593940734863,-0.002
72,0,0.7461259365081787,-0.002
73,0,0.7562696933746338,-0.0074
74,0,0.7666594982147217,-0.0047
75,0,0.7770135402679443,0.003
76,0,0.7871825695037842,-0.0089
77,0,0.797290563583374,-0.0064
78,0,0.8074891567230225,0.0045
79,0,0.8180801868438721,0.0045
80,0,0.8282427787780762,-0.0027
81,0,0.838639497756958,-0.0074
82,0,0.8490281105041504,-0.0024
83,0,0.8593928813934326,0.0018
84,0,0.869579553604126,-0.0047
85,0,0.8797674179077148,-0.0067
86,0,0.8898375034332275,-0.0067
87,0,0.8999171257019043,-0.0024
88,0,0.9102833271026611,0.0018
89,0,0.9205708503723145,-0.0052
90,0,0.930788516998291,-0.0009
91,0,0.9411695003509521,0.0035
92,0,0.9513623714447021,-0.0071
93,0,0.9618172645568848,-0.0071
94,0,0.972306489944458,-0.0082
95,0,0.9829275608062744,-0.0024
96,0,0.9934790134429932,0.0026
97,0,1.0036749839782715,-0.0086
98,0,1.0147817134857178,-0.0009
99,0,1.0250129699707031,1.9003
100,0,1.03521728515625,3.4249
101,0,1.0453088283538818,3.4249
102,0,1.0558302402496338,3.4202
103,0,1.0660603046417236,3.4226
104,0,1.0764148235321045,3.4166
105,0,1.0870144367218018,3.4213
106,0,1.0973668098449707,3.4255
107,0,1.1075408458709717,3.4211
108,0,1.118147850036621,3.4211
109,0,1.1282861232757568,3.4179
110,0,1.1388218402862549,3.4188
111,0,1.1493134498596191,3.4214
112,0,1.1598098278045654,3.4208
113,0,1.1702091693878174,3.4208
114,0,1.1805241107940674,3.4161
115,0,1.1907312870025635,3.4231
116,0,1.2011148929595947,3.4231
117,0,1.2116849422454834,3.4167
118,0,1.221907377243042,3.4193
119,0,1.2324364185333252,3.4252
120,0,1.2426912784576416,3.4167
121,0,1.2532479763031006,3.4249
122,0,1.2637767791748047,3.4223
123,0,1.2741568088531494,3.4178
124,0,1.2846012115478516,3.4178
125,0,1.2946827411651611,3.4235
126,0,1.304809808731079,3.419
127,0,1.3154523372650146,3.4223
128,0,1.3258066177368164,3.4222
129,0,1.3359930515289307,3.4231
130,0,1.346186876296997,3.4235
131,0,1.3563413619995117,3.4235
132,0,1.3667232990264893,3.4173
133,0,1.3772592544555664,3.4205
134,0,1.3877358436584473,3.4244
135,0,1.3980000019073486,3.4158
136,0,1.4081568717956543,3.4199
137,0,1.4184715747833252,3.4244
138,0,1.4289755821228027,3.4244
139,0,1.4391460418701172,3.4205
140,0,1.4494907855987549,3.4169
141,0,1.4600417613983154,3.4164
142,0,1.470238208770752,3.4249
143,0,1.4808330535888672,3.4158
144,0,1.4911918640136719,3.4282
145,0,1.5016953945159912,3.4219
146,0,1.5117969512939453,3.4219
147,0,1.5223166942596436,3.4278
148,0,1.5328481197357178,3.4164
149,0,1.543393850326538,3.4219
150,0,1.5535283088684082,3.4217
151,0,1.5637707710266113,3.4194
152,0,1.5739424228668213,3.4241
153,0,1.5844597816467285,3.4241
154,0,1.594883918762207,3.4207
155,0,1.6052405834197998,3.4231
156,0,1.6155211925506592,3.4214
157,0,1.6260147094726562,3.4191
158,0,1.6365036964416504,3.4226
159,0,1.6467204093933105,3.4244
160,0,1.6569924354553223,3.4244
161,0,1.6673529148101807,3.4181
162,0,1.677781581878662,3.4207
163,0,1.6880290508270264,3.4205
164,0,1.698652982711792,3.4185
165,0,1.7091710567474365,3.4238
166,0,1.719419240951538,3.4145
167,0,1.7299795150756836,3.419
168,0,1.7401049137115479,3.419
169,0,1.7505614757537842,3.4267
170,0,1.7610270977020264,3.4258
171,0,1.7716071605682373,3.4199
172,0,1.7818067073822021,3.4213
173,0,1.7921996116638184,3.4252
174,0,1.8024094104766846,3.4135
175,0,1.8126633167266846,3.4231
176,0,1.8231761455535889,3.4231
177,0,1.8333537578582764,3.4278
178,0,1.843618631362915,3.4223
179,0,1.8539509773254395,3.4194
180,0,1.8645806312561035,3.4196
181,0,1.874873399734497,3.4208
182,0,1.8851768970489502,3.4208
183,0,1.8954949378967285,3.4208
184,0,1.9058825969696045,3.4264
185,0,1.916398525238037,3.4191
